GEOID,place_name,state_abbr,pop_2020,adoption_year_clean,adoption_status,year_found,year_corrected,status_final,status_corrected,source_url,source_type,evidence_note,obyrne_label,adopt_by2012,audit_note,definitional_note
4824000,El Paso city,TX,679255,,,2011.0,2011.0,conflict_fp,conflict_fp,https://www.elpasotexas.gov/311,news,EP311 launched in 2011 as El Paso's non-emergency citizen service center.,not_adopted_by2012,0.0,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,
2507000,Boston city,MA,675466,,,2009.0,2009.0,conflict_fp,conflict_fp,https://www.boston.gov/departments/311,official,Boston launched its 311 system (BOS:311) in 2009.,not_adopted_by2012,0.0,FP-conflict: search found year 2009 but O'Byrne (2012 survey) says not adopted. Verify source.,
3240000,Las Vegas city,NV,646794,,,2000.0,2000.0,conflict_fp,conflict_fp,https://lasvegassun.com/,news,"Las Vegas Sun reported the city's 311 system went active on October 30, 2000.",not_adopted_by2012,0.0,FP-conflict: search found year 2000 but O'Byrne (2012 survey) says not adopted. Verify source.,
5553000,Milwaukee city,WI,577207,,,2012.0,2012.0,conflict_fp,conflict_fp,https://city.milwaukee.gov/Milwaukee311,news,Milwaukee established its Unified Call Center / 311 system in 2012.,not_adopted_by2012,0.0,FP-conflict: search found year 2012 but O'Byrne (2012 survey) says not adopted. Verify source.,
3755000,Raleigh city,NC,465354,,,2011.0,2011.0,conflict_fp,conflict_fp,https://raleighnc.gov/raleigh-311,news,Raleigh launched SeeClickFix-based 311 in 2011; the service was later replaced by the Ask Raleigh platform in 2025.,not_adopted_by2012,0.0,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,"SeeClickFix-based 311 platform (2011) later rebranded as ""Ask Raleigh"" (2025). Year 2011 retained; 311 branding was present but system not maintained long-term. Remains in review set as conflict_fp."
3916000,Cleveland city,OH,371806,,,2009.0,2009.0,conflict_fp,conflict_fp,https://www.clevelandohio.gov/CityofCleveland/Home/Government/CityAgencies/PublicWorksandRecreation/311,official,Cleveland launched its 311 system in 2009.,not_adopted_by2012,0.0,FP-conflict: search found year 2009 but O'Byrne (2012 survey) says not adopted. Verify source.,
4858016,Plano city,TX,286408,,,2011.0,,conflict_fp,conflict_fp,https://www.nbcdfw.com/news/local/fix-it-plano-app-allows-residents-to-report-problems/1984256/,news,"""Fix It Plano"" citizen service app launched in July 2011, per NBC DFW and GovTech reporting.",not_adopted_by2012,0.0,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,"Automated screen: evidence note lacks explicit ""311"" designation; system appears to be a branded citizen-service app without formal 311 branding. Year cleared; status downgraded to adopted_unknown_year."
3775000,Winston-Salem city,NC,249804,,,2007.0,2007.0,conflict_fp,conflict_fp,https://wstoday.6amcity.com/using-citylink-311,news,Winston-Salem's CityLink 311 citizen service center began operations in 2007.,not_adopted_by2012,0.0,FP-conflict: search found year 2007 but O'Byrne (2012 survey) says not adopted. Verify source.,
1230000,Hialeah city,FL,222408,,,,,not_adopted_unclear,not_adopted_unclear,https://www.hialeahfl.gov/citizens,official,"Hialeah uses a Citizen Request Tracker (CRT), not a 311 number; Miami-Dade County 311 is a separate service.",unclear,,,
0473000,Tempe city,AZ,185328,,,2012.0,2012.0,conflict_fp,conflict_fp,https://www.wranglernews.com/2012/06/16/tempe-311-one-stop-city-services/,news,Tempe 311 is described as an existing service by a June 2012 news article; the mobile app launched in 2013.,not_adopted_by2012,0.0,FP-conflict: search found year 2012 but O'Byrne (2012 survey) says not adopted. Verify source.,
0827425,Fort Collins city,CO,169982,,,2011.0,,conflict_fp,conflict_fp,https://collegian.com/articles/news/2022/04/category-news-access-fort-collins-a-place-for-all-your-questions-and-requests/,news,"""Access Fort Collins"" citizen service system was created in 2011, per Rocky Mountain Collegian reporting.",not_adopted_by2012,0.0,FP-conflict: search found year 2011 but O'Byrne (2012 survey) says not adopted. Verify source.,"Automated screen: evidence note lacks explicit ""311"" designation; system appears to be a branded citizen-service app without formal 311 branding. Year cleared; status downgraded to adopted_unknown_year."
0656000,Pasadena city,CA,138462,,,2009.0,2009.0,conflict_fp,conflict_fp,https://pasadenanow.com/main/city-launches-information-services-hotline,news,"Pasadena launched its 311 Citizen Service Center on January 24, 2009, handling approximately 75,000 calls annually.",not_adopted_by2012,0.0,FP-conflict: search found year 2009 but O'Byrne (2012 survey) says not adopted. Verify source.,
4962470,Provo city,UT,115103,,,2012.0,2012.0,conflict_fp,conflict_fp,https://www.provo.gov/179/311-Customer-Service,official,"Provo recognized the need for a 311 customer service department in 2012 and formalized the service that year, per the city's official 311 page.",not_adopted_by2012,0.0,FP-conflict: search found year 2012 but O'Byrne (2012 survey) says not adopted. Verify source.,
